crops,Area Acres,Per Area yield (KG),Production in (KG),Year_range,crop_type,year mid point,crop indexing,location
ganda(marygold),1187,1669,1981000,2017-2018,Flower Group (Temporary ) ,2017.5,1,Bangladesh
ganda(marygold),1335.08,2245.27,2998000,2019-2020,Flower Group (Temporary ) ,2019.5,1,Bangladesh
ganda(marygold),1025.62,1767.36,1812640,2020-2021,Flower Group (Temporary ) ,2020.5,1,Bangladesh
ganda(marygold),1022.76,1737.98,1777540,2021-2022,Flower Group (Temporary ) ,2021.5,1,Bangladesh
ganda(marygold),1124.92,2561.44,2881410,2022-2023,Flower Group (Temporary ) ,2022.5,1,Bangladesh
ganda(marygold),1144.87,3785.31,4333690,2023-2024,Flower Group (Temporary ) ,2023.5,1,Bangladesh
ganda(marygold),1051.56,3711.89,3903270,2024-2025,Flower Group (Temporary ) ,2024.5,1,Bangladesh
gardencosmos(kosmos),9.59,642,6159,2018-2019,Flower Group (Temporary ) ,2018.5,1,Bangladesh
gardencosmos(kosmos),15,1149,13000,2019-2020,Flower Group (Temporary ) ,2019.5,1,Bangladesh
gardencosmos(kosmos),10.45,666.99,6970,2020-2021,Flower Group (Temporary ) ,2020.5,1,Bangladesh
gardencosmos(kosmos),12.92,653.25,8440,2021-2022,Flower Group (Temporary ) ,2021.5,1,Bangladesh
gardencosmos(kosmos),14.97,566.47,8480,2022-2023,Flower Group (Temporary ) ,2022.5,1,Bangladesh
gardencosmos(kosmos),11.14,669.66,7460,2023-2024,Flower Group (Temporary ) ,2023.5,1,Bangladesh
gardencosmos(kosmos),11.69,674.08,7880,2024-2025,Flower Group (Temporary ) ,2024.5,1,Bangladesh
gladiolas,687,4431,3044000,2015-2016,Flower Group (Temporary ) ,2015.5,1,Bangladesh
gladiolas,883,4402,3887000,2016-2017,Flower Group (Temporary ) ,2016.5,1,Bangladesh
gladiolas,888,4430,3934000,2017-2018,Flower Group (Temporary ) ,2017.5,1,Bangladesh
gladiolas,896,4393,3936000,2018-2019,Flower Group (Temporary ) ,2018.5,1,Bangladesh
gladiolas,924,4389.39,4056000,2019-2020,Flower Group (Temporary ) ,2019.5,1,Bangladesh
gladiolas,943.62,4408.07,4159540,2020-2021,Flower Group (Temporary ) ,2020.5,1,Bangladesh
gladiolas,557.5,6804.57,3793550,2021-2022,Flower Group (Temporary ) ,2021.5,1,Bangladesh
gladiolas,473.49,6313.92,2989580,2022-2023,Flower Group (Temporary ) ,2022.5,1,Bangladesh
gladiolas,475.76,6438.67,3063260,2023-2024,Flower Group (Temporary ) ,2023.5,1,Bangladesh
