CROP NAME,Crop type,Area Under garden(acre),Average Yield per fruit bearing tree,In garden production,In garden prduction (KG),Outside garden production,total production m tons,total production in KG,Year range,Year mid range,crop indexing,,,,,,,,,
Lichi,Fruits (Permanent),7136,65,27548,,62749,90297,90297000,2016-2017,2016.5,2,,,,,,,,,
Lichi,Fruits (Permanent),40889,66,33097,,61063,94160,94160000,2017-2018,2017.5,2,,,,,,,,,
Lichi,Fruits (Permanent),31591,56.1,29888,,51032,80920,80920000,2019-2020,2019.5,2,,,,,,,,,
Lichi,Fruits (Permanent),20388.53,55.96,35981.96,,56976.45,92958.41,92958410,2021-2022,2021.5,2,,,,,,,,,
Lichi,Fruits (Permanent),21759.2,60.76,,,,104708.34,104708340,2022-2023,2022.5,2,,,,,,,,,
Lichi,Fruits (Permanent),22442.29,56.5,,,,98622.12,98622120.00,2023-2024,2023.5,2,,,,,,,,,
Lichi,Fruits (Permanent),22923.33,55.55,,,,97402.8,97402800,2024-2025,2024.5,2,,,,,,,,,
Licht,Fruits (Permanent),17279.99,57.82,32307.78,,54876.02,87183.8,87183800,2020-2021,2020.5,2,,,,,,,,,
Lime & Lemon,Fruits (Permanent),158842,15,33345,,187478,67077,67077000,2018-2019,2018.5,2,,,,,,,,,
Lime & Lemon,Fruits (Permanent),4817,18,24798,,40416,65214,65214000,2015-2016,2015.5,2,,,,,,,,,
Lime & Lemon,Fruits (Permanent),6371,18,25225,,43907,69132,69132000,2016-2017,2016.5,2,,,,,,,,,
Lime & Lemon,Fruits (Permanent),4415,12,25545,,40887,67077,67077000,2017-2018,2017.5,2,,,,,,,,,
Lime & Lemon,Fruits (Permanent),156440,16,22242,,36310,58552,58552000,2019-2020,2019.5,2,,,,,,,,,
Lime & Lemon,Fruits (Permanent),162242.69,16.63,20709.71,,60894.75,81604.46,81604460,2020-2021,2020.5,2,,,,,,,,,
Lime & Lemon,Fruits (Permanent),30248.22,18.34,45281.24,,50130.65,95411.89,95411890,2021-2022,2021.5,2,,,,,,,,,
Lime & Lemon,Fruits (Permanent),33087.57,19.03,,,,99930.87,99930870,2022-2023,2022.5,2,,,,,,,,,
Lime & Lemon,Fruits (Permanent),20567.26,19.25,,,,106568.53,106568530.00,2023-2024,2023.5,2,,,,,,,,,
Lime & Lemon,Fruits (Permanent),21325.38,20.29,,,,111958.64,111958640,2024-2025,2024.5,2,,,,,,,,,
Mango,Fruits (Permanent),93480,82,437449,,724236,1161685,1161685000,2015-2016,2015.5,2,,,,,,,,,
Mango,Fruits (Permanent),102939,92,41699,,871322,1288315,1288315000,2016-2017,2016.5,2,,,,,,,,,
Mango,Fruits (Permanent),109584,76,463644,,702160,1165804,1165804000,2017-2018,2017.5,2,,,,,,,,,
Mango,Fruits (Permanent),235393,78,543494,,675952,1219450,1219450000,2018-2019,2018.5,2,,,,,,,,,
Mango,Fruits (Permanent),235348,77,516647,,705721,1222368,1222368000,2019-2020,2019.5,2,,,,,,,,,
Mango,Fruits (Permanent),286823,70.65,473222,,741375,1214597,1214597000,2020-2021,2020.5,2,,,,,,,,,
Mango,Fruits (Permanent),299054,68.54,473460,,733986,1207446,1207446000,2021-2022,2021.5,2,,,,,,,,,
Mango,Fruits (Permanent),306274.32,61.79,,,,1482937.04,1482937040,2022-2023,2022.5,2,,,,,,,,,
Mango,Fruits (Permanent),391464.86,73.95,,,,1842653.78,1842653780.00,2023-2024,2023.5,2,,,,,,,,,
Mango,Fruits (Permanent),344216.52,68.44,,,,1871940.21,1871940210,2024-2025,2024.5,2,,,,,,,,,
Monkey jackfruit (Dewya),Fruits (Permanent),56,24,,,1589,1589,1589000,2018-2019,2018.5,2,,,,,,,,,
Monkey jackfruit (Dewya),Fruits (Permanent),52,23,47,,1281,1328,1328000,2019-2020,2019.5,2,,,,,,,,,
Monkey jackfruit (Dewya),Fruits (Permanent),7,24.59,19,,1610.5,1629.5,1629500,2020-2021,2020.5,2,,,,,,,,,
Monkey jackfruit (Dewya),Fruits (Permanent),74.21,24.52,18.47,,1613.76,1632.23,1632230,2021-2022,2021.5,2,,,,,,,,,
Monkey jackfruit (Dewya),Fruits (Permanent),69.72,22.81,,,,1464.68,1464680,2022-2023,2022.5,2,,,,,,,,,
Monkey jackfruit (Dewya),Fruits (Permanent),804.18,22.92,,,,1527.42,1527420.00,2023-2024,2023.5,2,,,,,,,,,
